StateUT,Year,Season,Scheme,Crop,Applications_Enrolled,Applications_Insured,Area_Insured_ha,Premium_Paid_by_Farmers_Rs,Total_Premium_Rs,Claims_Paid_Rs,Claims_Pending_Rs,Farmers_Benefitted,Number_of_Claims
Andhra Pradesh,2020,Kharif,PMFBY,Rice,371,306,248.48,72953,131036,662309,59719,213,125
Andhra Pradesh,2020,Kharif,PMFBY,Wheat,313,209,231.67,119276,551221,284508,26112,62,30
Andhra Pradesh,2020,Kharif,PMFBY,Maize,323,290,260.81,132632,725046,160692,14644,93,27
Andhra Pradesh,2020,Kharif,PMFBY,Cotton,348,221,412.93,191637,313675,717649,3702,185,81
Andhra Pradesh,2020,Kharif,PMFBY,Pulses,339,270,430.22,133761,1103345,1048804,147803,223,75
Andhra Pradesh,2020,Kharif,PMFBY,Oilseeds,362,244,144.07,56936,445613,169768,21104,110,18
Andhra Pradesh,2020,Kharif,RWBCIS,Rice,332,300,194.73,154252,926496,194105,161,231,12
Andhra Pradesh,2020,Kharif,RWBCIS,Wheat,342,214,260.42,70189,933292,536008,26605,52,55
Andhra Pradesh,2020,Kharif,RWBCIS,Maize,320,269,611.82,295710,415304,1396854,159406,159,84
Andhra Pradesh,2020,Kharif,RWBCIS,Cotton,330,251,138.26,36602,68031,289105,13632,140,16
Andhra Pradesh,2020,Kharif,RWBCIS,Pulses,316,280,268.13,66010,355761,242136,33767,214,17
Andhra Pradesh,2020,Kharif,RWBCIS,Oilseeds,354,237,541.57,283569,1091009,1484025,70789,66,176
Andhra Pradesh,2020,Rabi,PMFBY,Rice,326,302,155.2,78601,496012,163778,2945,132,9
Andhra Pradesh,2020,Rabi,PMFBY,Wheat,320,277,339.95,266204,1228651,383958,28638,114,41
Andhra Pradesh,2020,Rabi,PMFBY,Maize,330,232,537.44,184738,329632,926349,136958,86,61
Andhra Pradesh,2020,Rabi,PMFBY,Cotton,345,302,373.14,216191,849720,686367,9296,237,70
Andhra Pradesh,2020,Rabi,PMFBY,Pulses,311,256,474.91,99709,611802,506368,49004,82,33
Andhra Pradesh,2020,Rabi,PMFBY,Oilseeds,324,211,249.43,66868,991561,671802,25993,140,39
Andhra Pradesh,2020,Rabi,RWBCIS,Rice,333,230,157.83,116531,1016949,328721,16717,102,21
Andhra Pradesh,2020,Rabi,RWBCIS,Wheat,357,319,569.12,142555,304183,1563023,142179,66,240
Andhra Pradesh,2020,Rabi,RWBCIS,Maize,339,224,357.83,220115,872076,379541,40545,82,38
Andhra Pradesh,2020,Rabi,RWBCIS,Cotton,344,317,575.43,311299,404973,816702,32489,118,42
Andhra Pradesh,2020,Rabi,RWBCIS,Pulses,324,272,568.38,285089,861992,984033,28819,192,107
Andhra Pradesh,2020,Rabi,RWBCIS,Oilseeds,323,307,416.41,324797,1288416,1096209,48417,144,62
Andhra Pradesh,2020,Zaid,PMFBY,Rice,320,259,614.43,379483,949544,456485,42111,231,64
Andhra Pradesh,2020,Zaid,PMFBY,Wheat,331,291,551.16,342541,702032,680120,82569,223,38
Andhra Pradesh,2020,Zaid,PMFBY,Maize,360,284,595.43,351291,1053257,1482312,197890,124,139
Andhra Pradesh,2020,Zaid,PMFBY,Cotton,301,184,263.34,138408,424949,520645,2382,42,30
Andhra Pradesh,2020,Zaid,PMFBY,Pulses,322,257,524.28,172746,795636,374005,2899,147,29
Andhra Pradesh,2020,Zaid,PMFBY,Oilseeds,337,327,501.16,197344,992530,589906,38843,83,110
Andhra Pradesh,2020,Zaid,RWBCIS,Rice,340,226,183.71,64325,613551,420051,41597,89,22
Andhra Pradesh,2020,Zaid,RWBCIS,Wheat,343,285,381.67,133065,489037,913953,1973,80,161
Andhra Pradesh,2020,Zaid,RWBCIS,Maize,341,217,321.86,155807,329008,510029,30487,137,35
Andhra Pradesh,2020,Zaid,RWBCIS,Cotton,286,239,360.0,257002,915695,326641,3458,155,61
Andhra Pradesh,2020,Zaid,RWBCIS,Pulses,334,273,348.44,204176,662428,649507,91723,128,33
Andhra Pradesh,2020,Zaid,RWBCIS,Oilseeds,358,224,157.15,33148,127590,346911,3704,95,20
Andhra Pradesh,2021,Kharif,PMFBY,Rice,318,274,481.66,349918,1084989,1208342,51119,89,74
Andhra Pradesh,2021,Kharif,PMFBY,Wheat,325,290,342.67,259900,1118312,538843,60690,211,82
Andhra Pradesh,2021,Kharif,PMFBY,Maize,358,327,372.81,274878,664079,196506,26687,86,20
Andhra Pradesh,2021,Kharif,PMFBY,Cotton,334,257,279.21,110902,783420,664781,78934,193,104
Andhra Pradesh,2021,Kharif,PMFBY,Pulses,330,266,367.89,269524,620439,291614,6255,195,20
Andhra Pradesh,2021,Kharif,PMFBY,Oilseeds,302,261,168.48,116776,823018,118504,1508,232,11
Andhra Pradesh,2021,Kharif,RWBCIS,Rice,323,310,766.32,499661,875920,543131,63314,183,48
Andhra Pradesh,2021,Kharif,RWBCIS,Wheat,358,281,146.88,70678,126981,117070,2064,184,7
Andhra Pradesh,2021,Kharif,RWBCIS,Maize,334,247,264.64,190848,414443,769588,1403,217,136
Andhra Pradesh,2021,Kharif,RWBCIS,Cotton,356,347,224.71,119616,1088918,406218,38351,238,34
Andhra Pradesh,2021,Kharif,RWBCIS,Pulses,337,317,187.31,69038,1019449,510543,34895,201,56
Andhra Pradesh,2021,Kharif,RWBCIS,Oilseeds,312,229,381.81,94170,1068564,1132268,118576,132,117
Andhra Pradesh,2021,Rabi,PMFBY,Rice,348,230,534.03,370362,1320161,1235905,113718,113,65
Andhra Pradesh,2021,Rabi,PMFBY,Wheat,353,215,269.38,184884,1172160,235988,21031,100,12
Andhra Pradesh,2021,Rabi,PMFBY,Maize,351,273,362.99,132144,188519,966209,117815,246,48
Andhra Pradesh,2021,Rabi,PMFBY,Cotton,333,319,701.58,244437,694981,577329,82620,199,68
Andhra Pradesh,2021,Rabi,PMFBY,Pulses,339,249,181.05,109163,629470,440096,34338,198,33
Andhra Pradesh,2021,Rabi,PMFBY,Oilseeds,333,250,192.01,41718,796855,393769,41587,87,56
Andhra Pradesh,2021,Rabi,RWBCIS,Rice,335,256,590.93,241663,755652,1453175,86437,163,81
Andhra Pradesh,2021,Rabi,RWBCIS,Wheat,371,353,523.93,185967,645102,1545636,114211,152,107
Andhra Pradesh,2021,Rabi,RWBCIS,Maize,315,204,154.24,44906,183733,324241,8846,90,18
Andhra Pradesh,2021,Rabi,RWBCIS,Cotton,328,218,192.84,43297,212232,230728,6126,57,34
Andhra Pradesh,2021,Rabi,RWBCIS,Pulses,328,242,364.65,223981,263293,911088,85811,62,50
